1.5	10000
1.53	326127.766
1.56	642255.532
1.59	958383.298
1.62	1274511.064
1.65	1590638.83
1.68	1906766.596
1.71	2222894.362
1.74	2539022.128
1.77	2855149.894
1.8	3171277.66
1.83	3487405.426
1.86	3803533.192
1.89	4119660.958
1.92	4435788.724
1.95	4751916.49
1.98	5068044.256
2.01	5384172.022
2.04	5700299.788
2.07	6016427.554
2.1	6332555.32
2.13	6648683.086
2.16	6964810.852
2.19	7280938.618
2.22	7597066.384
2.25	7913194.15
2.28	8229321.916
2.31	8545449.682
2.34	8861577.448
2.37	9177705.214
2.4	9493832.98
2.43	9809960.746
2.46	10126088.51
2.49	10442216.28
2.52	10758344.04
2.55	11074471.81
2.58	11390599.58
2.61	11706727.34
2.64	12022855.11
2.67	12338982.87
2.7	12655110.64
2.73	12971238.41
2.76	13287366.17
2.79	13603493.94
2.82	13919621.7
2.85	14235749.47
2.88	14551877.24
2.91	14868005
2.94	15184132.77
2.97	15500260.53
3	15816388.3
3.03	16132516.07
3.06	16448643.83
3.09	16764771.6
3.12	17080899.36
3.15	17397027.13
3.18	17713154.9
3.21	18029282.66
3.24	18345410.43
3.27	18661538.19
3.3	18977665.96
3.33	19293793.73
3.36	19609921.49
3.39	19926049.26
3.42	20242177.02
3.45	20558304.79
3.48	20874432.56
3.51	21190560.32
3.54	21506688.09
3.57	21822815.85
3.6	22138943.62
3.63	22455071.39
3.66	22771199.15
3.69	23087326.92
3.72	23403454.68
3.75	23719582.45
3.78	24035710.22
3.81	24351837.98
3.84	24667965.75
3.87	24984093.51
3.9	25300221.28
3.93	25616349.05
3.96	25932476.81
3.99	26248604.58
4.02	26564732.34
4.05	26880860.11
4.08	27196987.88
4.11	27513115.64
4.14	27829243.41
4.17	28145371.17
4.2	28461498.94
4.23	28777626.71
4.26	29093754.47
4.29	29409882.24
4.32	29726010
4.35	30042137.77
4.38	30358265.54
4.41	30674393.3
4.44	30990521.07
4.47	31306648.83
4.5	31622776.6
